V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
17.60,nan,9.19,31.95,13.69,12.73,4.01,15.43,3.00,6.28,18.23,10.22,34.09,6.14,10.34,8.08,15.88,39.39,12.75,2.50,46.59,57.36,8.50,18.28,3.88,41.87,11.28,35.94,61.00,11.79,14.23,3.37,24.25,30.12,5.37,7.70,1,0.4149
14.79,4.73,9.46,20.03,7.98,11.07,nan,6.27,4.22,13.88,19.99,16.11,26.59,9.63,13.63,9.96,6.99,47.50,12.55,2.71,11.13,64.39,18.70,24.34,4.95,36.50,7.52,40.51,60.09,8.73,nan,3.64,23.13,27.12,11.57,8.74,3,0.3898
13.58,2.92,5.94,19.20,4.36,nan,3.67,10.44,2.03,14.32,nan,14.57,11.38,7.74,6.75,5.95,19.45,44.80,10.16,3.53,26.70,50.55,7.89,15.52,1.38,33.53,15.18,nan,54.11,11.19,9.07,3.42,15.27,36.64,4.08,11.64,0,0.3473
6.27,4.85,11.17,57.50,14.03,4.50,3.77,13.78,3.77,7.57,nan,24.42,33.83,7.18,8.73,6.06,24.78,46.59,9.46,3.79,40.99,38.52,11.90,14.82,3.90,39.84,11.75,16.34,34.60,14.18,12.58,1.68,nan,45.38,8.75,6.29,5,0.4125
11.95,5.32,6.99,37.23,9.13,10.71,3.85,19.41,4.45,10.14,14.75,13.23,38.08,9.61,12.74,9.54,16.56,47.31,10.80,2.94,24.26,53.57,16.23,22.28,3.90,29.59,8.79,25.37,40.90,11.42,11.51,1.19,20.65,33.04,7.28,10.46,0,0.3831
15.41,nan,12.73,23.51,11.66,7.27,4.24,11.27,6.17,9.92,10.06,12.13,24.93,3.28,12.84,9.88,5.30,30.32,14.73,3.80,13.46,81.51,13.62,13.35,4.35,49.23,6.24,30.37,53.73,14.75,9.70,3.46,36.95,nan,18.83,nan,1,0.3990
14.23,4.17,9.02,23.85,11.56,11.31,3.98,12.57,2.64,8.11,13.48,15.08,34.28,9.95,7.74,12.22,15.36,35.36,17.21,4.14,41.67,50.92,13.78,20.16,4.68,40.82,13.78,25.48,43.20,9.08,12.32,3.15,37.01,37.98,7.76,nan,1,0.4108
13.75,4.12,15.34,30.55,9.22,11.19,4.27,15.31,3.42,13.25,nan,12.55,28.78,10.73,13.51,nan,18.73,43.90,nan,3.66,27.36,53.82,14.53,nan,0.58,42.63,9.32,29.49,40.13,14.30,14.15,3.22,30.60,37.00,11.81,6.23,3,0.4032
9.00,4.83,16.88,23.96,7.26,17.34,1.99,23.20,2.78,14.01,20.37,5.94,35.77,14.41,7.65,14.38,15.09,54.75,11.32,3.30,27.29,43.85,13.59,12.70,3.26,47.99,8.64,29.29,nan,11.95,11.82,3.05,31.53,38.09,7.24,8.47,4,0.4086
11.83,nan,15.03,37.59,7.29,12.24,3.09,20.83,1.07,7.71,16.39,9.29,39.53,12.31,6.28,6.83,11.91,45.84,8.80,4.75,41.62,47.46,13.23,7.94,3.83,50.43,9.96,32.91,62.29,10.13,17.78,2.10,51.88,28.20,8.07,6.77,4,0.4314
17.26,5.08,6.95,18.95,15.91,16.82,5.20,7.97,2.33,2.37,8.46,19.99,57.22,13.70,13.17,11.43,8.28,16.75,3.63,3.13,36.03,47.61,19.69,8.27,2.35,16.72,11.22,26.66,53.63,17.17,3.53,2.99,35.31,33.87,8.18,16.32,5,0.3892
9.30,2.82,11.98,24.07,9.43,9.19,3.71,9.80,5.71,10.33,15.93,18.75,23.78,8.19,10.00,5.62,8.09,37.41,7.44,5.22,nan,64.10,11.01,14.74,4.31,37.44,16.03,32.18,46.02,9.26,9.70,4.46,38.70,36.23,10.01,8.60,1,0.3859
7.44,4.44,19.95,21.47,9.21,14.11,3.58,15.69,2.46,nan,15.40,nan,29.92,16.91,5.31,8.12,17.84,40.20,14.01,5.61,55.75,39.33,6.99,11.60,4.04,42.28,14.95,33.41,44.90,8.85,16.05,4.42,61.15,48.88,6.37,12.99,2,0.4307
nan,2.96,12.45,27.72,12.40,17.18,0.46,6.57,4.84,7.52,4.18,19.63,49.48,11.26,11.59,5.29,2.73,25.39,6.48,4.15,35.09,nan,18.45,14.93,3.25,17.41,6.64,35.78,57.08,16.92,8.63,4.15,39.04,30.10,7.51,13.24,5,0.4072
12.30,3.83,nan,32.85,nan,4.50,3.79,7.53,nan,6.79,10.92,18.52,22.23,8.41,14.54,11.05,27.96,15.24,16.05,3.66,34.72,58.88,9.85,nan,4.03,28.10,7.44,16.07,28.93,13.60,3.54,2.86,29.01,49.56,8.01,10.00,5,0.3605
7.41,6.08,11.97,35.38,7.05,8.80,3.48,10.88,2.63,7.05,15.79,9.24,26.45,11.20,13.59,nan,16.72,27.15,11.79,4.47,28.42,45.17,16.84,nan,2.02,23.08,11.40,31.99,56.14,15.00,nan,3.41,nan,28.32,4.69,8.60,4,0.3594
11.47,5.66,9.47,34.82,9.78,9.57,2.69,18.35,3.43,9.63,22.70,9.05,28.52,13.98,10.38,4.68,18.49,48.84,10.57,3.69,27.28,41.01,15.60,13.49,1.35,34.32,7.16,33.33,58.79,12.18,16.09,4.42,38.59,27.15,8.80,14.27,4,0.3911
11.07,4.72,13.68,17.73,7.17,12.22,1.80,14.89,1.88,10.51,20.04,13.98,18.75,14.87,16.76,4.91,14.05,37.10,12.34,2.66,23.76,62.62,12.66,22.87,2.71,20.56,9.56,29.51,36.46,10.83,5.27,2.94,18.33,38.18,6.93,9.89,4,0.3430
7.87,nan,6.60,41.48,13.22,16.23,2.79,15.00,4.64,11.61,1.66,24.09,nan,12.50,11.12,9.36,27.89,46.02,12.76,4.37,61.49,19.32,17.55,13.55,1.44,33.25,18.80,36.73,15.58,12.42,18.98,3.89,59.92,36.06,10.79,9.82,1,0.4510
13.63,4.08,13.97,28.43,9.93,12.24,4.04,6.93,3.66,9.27,21.31,5.55,26.54,8.14,13.88,2.36,13.58,22.78,8.53,2.81,26.63,61.99,nan,19.89,nan,19.68,14.34,41.29,68.74,11.53,15.86,4.27,31.01,23.70,4.59,12.13,3,0.3679
12.04,2.15,13.87,15.16,7.31,17.52,2.39,21.88,4.32,nan,27.59,9.45,27.45,16.81,12.76,13.23,33.42,58.81,16.99,3.44,32.29,19.59,10.73,23.51,4.13,32.21,10.43,26.32,31.02,10.93,12.17,4.49,19.44,55.90,10.03,13.58,2,0.3844
13.03,3.80,10.98,24.62,8.46,11.19,2.59,7.71,nan,11.12,20.55,6.70,22.54,9.21,15.60,4.44,13.25,41.50,6.25,4.29,21.42,63.61,11.24,22.20,0.82,23.74,14.14,48.70,63.04,12.68,18.43,3.88,21.14,31.70,nan,10.47,3,0.3697
20.38,2.96,11.75,16.25,13.95,9.31,3.31,8.05,3.20,8.83,11.71,21.37,32.26,12.93,13.38,5.33,4.88,10.53,11.15,2.78,41.20,68.47,15.01,8.22,0.18,39.59,11.43,38.35,50.54,8.95,8.40,2.48,40.53,18.16,6.15,13.79,5,0.3939
7.52,3.14,nan,31.20,13.07,9.55,3.24,14.17,4.08,12.21,22.73,15.90,26.99,12.98,7.01,13.49,16.47,53.58,9.74,4.51,35.73,35.62,8.90,11.04,4.54,50.94,13.78,29.32,52.23,15.00,12.09,4.96,33.56,43.02,4.25,9.05,1,0.4085
11.79,5.25,8.89,41.72,7.36,8.21,4.05,19.50,4.13,15.65,19.59,11.14,26.38,7.00,10.58,8.73,18.21,57.27,10.49,nan,nan,53.77,15.19,17.02,1.55,43.16,5.90,28.33,50.97,16.94,11.90,1.78,18.67,30.26,10.83,7.53,0,0.3804
nan,5.47,6.33,37.89,9.60,11.54,4.64,19.82,3.54,9.09,16.95,17.03,34.87,nan,13.14,3.41,11.26,51.37,14.27,5.05,nan,57.10,10.73,22.35,1.96,42.60,10.24,36.92,49.38,15.03,15.64,1.20,24.29,24.40,9.16,8.73,1,0.4193
9.56,nan,11.24,40.74,9.43,6.28,4.22,17.83,3.86,15.73,13.97,17.44,23.43,16.44,8.10,6.47,22.80,49.72,9.24,4.59,34.88,55.26,10.39,18.71,4.22,nan,11.59,21.71,25.27,13.93,5.98,0.62,22.87,47.55,nan,8.70,3,0.3769
10.24,3.54,14.35,33.31,9.06,7.40,3.42,16.02,5.64,14.71,16.73,7.68,20.85,8.29,12.26,7.42,16.27,44.30,16.45,4.25,19.27,57.32,12.93,20.04,2.05,42.80,11.08,31.64,43.91,17.26,15.31,nan,36.78,33.48,12.40,10.96,0,0.3965
11.27,1.49,nan,32.74,6.87,12.63,3.78,17.76,5.25,13.38,17.22,15.88,31.34,nan,9.82,8.63,21.27,47.40,17.85,4.67,30.72,40.00,17.35,23.44,1.71,33.20,9.55,18.06,30.93,17.03,9.30,3.19,32.48,45.41,8.18,10.10,2,0.3952
10.44,4.71,10.27,22.46,20.97,18.33,4.37,11.60,2.59,12.32,4.69,28.30,40.75,19.67,10.64,9.78,8.38,48.48,nan,nan,67.02,43.31,13.74,5.08,4.91,53.02,nan,41.96,33.07,17.72,10.87,2.83,61.78,26.88,12.17,5.26,5,0.4761
13.25,2.93,7.94,16.48,4.78,10.26,3.27,13.21,4.88,17.64,7.13,nan,17.13,5.16,6.26,7.29,9.48,23.74,22.65,nan,32.07,60.30,17.25,9.72,4.00,51.41,16.57,32.14,29.72,11.52,4.27,4.08,46.23,16.45,10.80,7.81,1,0.3841
11.09,2.75,10.38,25.73,11.50,8.62,2.61,12.90,2.84,10.47,13.97,15.11,24.05,6.99,9.29,6.91,6.96,32.96,14.12,3.48,32.26,65.91,13.19,nan,2.64,46.60,14.98,30.52,nan,10.16,10.12,2.66,43.65,24.89,10.47,7.42,1,0.3986
16.46,3.31,13.92,30.09,7.93,13.38,5.02,14.58,4.03,7.47,15.83,10.69,39.71,7.09,8.34,11.25,17.08,32.71,11.94,nan,28.18,49.12,nan,17.76,5.26,33.13,nan,20.11,54.30,20.22,7.50,nan,25.63,46.33,7.74,11.45,1,0.3927
14.12,5.62,10.24,43.28,8.53,6.13,3.33,nan,3.01,12.30,9.91,23.66,37.58,6.66,10.40,6.58,12.44,37.93,12.41,4.35,31.23,55.04,13.88,21.54,2.98,37.74,13.01,26.24,36.04,17.07,13.48,0.62,33.87,nan,6.03,13.38,5,0.4070
12.36,3.87,7.34,35.02,10.75,9.84,4.67,16.98,2.58,nan,10.88,16.00,36.62,nan,10.19,5.52,13.82,46.81,11.55,5.32,41.46,47.82,12.26,18.28,4.71,40.02,18.03,36.26,34.83,15.38,16.24,4.92,42.06,32.81,8.65,13.78,1,0.4236
nan,4.61,5.87,18.99,18.79,12.70,2.18,11.52,4.57,nan,7.53,28.14,41.29,14.53,14.21,11.43,7.79,40.10,11.48,3.96,47.53,54.50,12.89,10.35,3.68,43.76,9.10,39.47,34.28,8.41,11.16,2.98,41.12,27.02,10.69,11.59,5,0.4316
8.30,4.02,11.29,24.92,6.07,16.50,2.14,16.07,3.62,15.00,11.64,15.91,41.45,13.24,5.63,12.35,11.11,43.86,11.37,nan,34.68,42.59,18.70,14.18,3.03,nan,16.24,30.55,40.69,10.04,11.99,3.49,42.68,33.60,5.12,10.30,1,0.4105
7.00,2.72,14.71,21.26,6.55,12.76,nan,17.82,1.80,10.06,24.96,9.41,19.05,15.12,12.04,14.61,27.25,75.41,9.05,4.37,21.63,43.39,1.82,24.95,1.11,32.98,6.10,28.99,40.57,11.71,12.65,3.65,nan,70.31,nan,6.79,2,0.3712
5.35,5.24,8.89,47.41,12.16,5.49,nan,16.42,4.78,6.99,18.80,12.59,25.99,19.61,8.14,9.06,21.46,nan,11.99,2.09,38.64,48.32,13.83,22.80,0.63,30.11,5.69,15.42,44.22,10.23,11.82,5.31,30.11,45.74,2.39,4.20,4,0.3857
14.46,3.52,nan,28.52,9.65,nan,0.89,17.77,1.33,13.08,19.61,15.42,24.45,6.87,15.41,nan,15.64,58.94,10.79,2.79,25.39,60.42,nan,21.65,2.92,35.49,7.74,43.80,46.30,12.01,13.94,2.04,14.01,28.61,11.33,nan,1,0.3856
11.37,6.15,nan,25.57,7.68,16.42,nan,14.01,2.17,15.48,10.06,18.70,33.84,12.48,7.34,9.10,11.95,32.44,19.84,4.47,50.63,45.62,16.25,14.66,1.98,47.08,16.50,31.96,35.17,15.59,10.61,1.31,49.36,30.96,4.49,6.67,1,0.4265
8.21,3.91,9.99,31.83,nan,11.60,5.13,15.40,4.57,12.20,12.71,18.24,31.84,11.52,7.14,10.52,21.30,57.49,11.31,4.87,38.06,45.58,8.68,17.52,5.29,38.85,10.78,29.47,34.13,11.98,12.36,1.95,35.50,49.82,9.77,11.75,4,0.4153
11.90,3.52,8.92,nan,8.45,12.09,5.09,14.99,3.27,7.38,15.15,15.22,28.83,14.41,nan,10.35,13.99,46.19,13.11,3.68,36.26,55.93,11.81,22.83,4.17,32.35,nan,29.71,36.28,9.02,10.77,2.42,24.21,40.39,8.90,3.96,4,0.3840
16.92,4.77,11.63,41.35,10.54,6.41,2.75,13.80,2.67,nan,16.28,8.71,35.03,10.31,9.42,8.45,13.54,24.30,17.31,5.35,33.71,51.65,19.12,17.22,2.79,40.70,9.66,20.35,60.83,18.40,13.29,2.70,39.52,25.53,5.24,nan,4,0.4023
13.68,3.33,5.59,45.33,nan,5.09,3.51,11.83,3.80,13.01,11.96,17.58,32.02,7.95,6.58,3.92,13.30,44.70,13.28,4.43,24.31,nan,20.30,28.23,2.55,36.55,12.48,12.84,35.11,12.60,9.40,4.07,34.68,33.83,13.54,8.43,5,0.4101
15.13,3.63,12.95,27.71,7.16,18.35,5.48,20.84,3.09,19.76,10.23,19.23,34.58,14.72,16.88,6.18,31.91,41.10,18.39,4.75,55.42,24.81,12.76,17.07,nan,34.88,17.04,45.92,8.75,17.58,13.45,1.67,30.58,33.27,5.54,12.01,1,0.4084
8.99,2.93,9.95,15.16,9.14,16.14,6.36,13.96,3.86,6.97,16.49,9.68,24.92,12.71,nan,8.89,15.97,44.24,15.34,3.32,43.97,nan,8.33,16.76,1.20,27.33,10.00,38.15,54.48,8.84,11.80,2.29,36.10,39.90,5.27,13.92,2,0.3885
11.03,3.48,15.54,42.87,19.83,13.39,6.75,22.14,3.07,10.93,5.59,24.72,49.58,nan,15.02,8.06,24.02,43.25,19.29,4.61,81.40,26.70,13.95,8.07,2.97,61.56,11.74,40.75,15.36,5.78,24.51,2.57,75.28,21.94,10.13,6.65,1,0.5030
16.68,4.03,7.56,41.27,8.92,4.45,4.26,17.98,0.91,11.22,19.40,20.61,28.87,17.94,7.87,2.15,nan,52.06,16.34,5.04,nan,40.51,14.51,18.93,3.60,50.70,11.82,29.85,42.29,12.41,19.22,2.73,45.79,28.92,5.93,11.07,2,0.4313
15.85,4.60,9.47,20.23,18.20,13.85,4.05,9.93,1.49,8.13,10.46,24.57,39.97,16.82,8.83,10.77,1.94,41.54,14.34,5.50,51.41,60.15,nan,10.87,5.58,51.42,6.84,33.24,51.35,12.70,10.43,nan,46.89,28.27,10.00,6.78,5,0.4514
11.79,5.60,9.34,31.81,7.04,5.31,4.94,12.82,2.73,11.35,13.78,15.62,21.35,10.22,15.32,8.94,11.03,43.09,9.87,3.64,17.82,68.79,11.55,17.40,4.50,36.22,6.34,35.43,47.29,12.43,11.67,4.94,18.87,30.90,7.90,5.56,0,0.3623
13.75,nan,6.77,19.91,11.91,11.21,2.31,nan,1.67,12.26,11.78,21.90,13.99,4.70,6.48,3.13,11.61,16.37,24.59,6.16,50.63,56.86,17.30,7.23,2.97,48.32,14.43,38.99,nan,7.82,8.00,2.04,56.29,5.00,8.36,6.33,1,0.3965
11.71,1.76,8.93,27.23,15.50,12.74,3.68,4.75,1.67,12.47,7.94,18.27,16.37,4.98,7.21,5.02,20.32,32.59,15.74,1.13,48.71,67.99,7.78,10.06,4.97,33.57,5.63,48.52,54.58,10.25,9.89,3.55,35.51,25.84,6.30,8.88,5,0.3905
15.08,2.87,16.08,12.84,8.33,16.46,6.17,9.94,2.78,13.80,18.98,9.35,22.30,10.30,11.91,8.10,10.94,39.64,13.07,6.61,32.07,65.54,9.30,22.20,6.25,37.20,15.65,40.93,51.93,15.47,11.00,6.17,21.42,39.86,8.08,6.74,3,0.3934
10.66,3.35,11.55,27.19,nan,14.02,2.77,12.37,3.67,8.60,6.92,18.82,39.01,4.97,8.75,9.33,14.82,18.48,nan,4.55,34.51,47.82,16.83,10.69,3.29,28.11,15.48,24.94,38.84,13.37,5.16,3.38,43.40,33.41,7.03,11.27,1,0.3773
13.56,3.76,12.84,36.05,6.91,9.89,nan,16.57,3.22,8.15,11.51,11.19,35.97,nan,12.16,5.66,15.53,28.26,14.59,5.60,40.53,46.28,13.68,15.89,1.66,37.43,16.78,32.29,43.61,16.45,15.79,5.04,46.73,29.83,8.09,10.68,4,0.4072
7.91,5.95,11.72,49.13,16.73,8.36,3.29,16.06,3.22,10.96,19.61,12.60,30.70,9.44,12.62,5.75,18.50,52.20,8.34,5.60,29.10,54.93,13.50,19.05,1.93,37.52,9.43,25.38,47.90,15.77,13.08,0.35,31.81,34.33,9.34,6.31,0,0.4050
15.77,3.26,6.82,26.48,11.28,7.23,3.17,12.66,4.48,12.13,19.42,18.01,19.84,8.91,9.86,5.58,17.12,36.86,16.45,nan,37.38,nan,12.34,15.41,2.39,45.93,14.91,34.06,44.11,11.62,12.18,2.67,35.01,26.42,8.45,11.15,4,0.3949
10.94,5.41,nan,48.27,10.27,9.86,4.93,17.29,2.38,13.85,9.58,22.65,35.17,13.06,13.54,6.92,29.56,36.07,15.58,4.85,60.42,29.06,15.33,7.05,2.06,53.19,12.62,38.17,25.26,8.89,19.65,nan,56.06,23.72,6.54,1.09,1,0.4340
8.77,5.32,20.01,42.78,8.29,12.35,4.77,17.46,1.31,21.43,10.04,26.85,37.37,8.69,13.34,13.08,32.42,51.53,18.53,3.78,43.67,22.61,12.09,14.19,3.86,56.08,9.35,40.89,15.04,10.72,23.32,3.24,46.62,nan,8.11,10.94,1,0.4445
12.17,4.47,13.19,44.77,9.76,19.65,3.59,14.47,4.09,9.20,21.70,10.18,53.30,nan,6.15,11.04,19.74,nan,1.80,4.00,37.45,33.35,14.68,14.90,3.17,38.81,8.27,nan,78.07,13.14,23.30,4.47,31.09,nan,5.95,5.75,4,0.4457
10.81,4.06,9.50,19.62,8.51,6.97,4.96,nan,1.27,12.88,22.40,4.36,11.53,13.45,14.29,9.50,23.47,55.21,6.55,3.52,2.30,61.91,8.73,20.52,3.07,24.09,5.60,35.45,49.73,12.15,10.94,2.92,8.40,47.66,13.57,12.83,2,0.3325
6.07,4.73,10.80,45.98,9.93,5.86,3.84,13.09,4.42,10.11,16.05,15.37,26.17,10.74,7.86,9.65,21.45,47.25,10.48,3.83,28.94,43.14,11.91,14.27,nan,34.24,7.81,23.39,49.32,16.82,11.32,3.21,33.91,43.54,4.53,9.03,1,0.3808
8.12,5.10,3.85,27.65,12.49,10.70,3.11,13.54,5.99,11.32,4.37,28.43,nan,14.29,15.19,10.55,11.32,42.51,13.51,5.21,42.40,44.75,14.15,6.33,1.94,38.78,8.56,39.13,27.45,14.99,7.96,5.12,41.27,23.52,9.07,6.92,5,0.3982
10.02,6.72,11.46,35.78,12.43,12.36,2.60,13.48,2.80,11.53,15.91,23.62,32.42,7.01,8.09,10.62,13.94,57.70,15.76,4.65,38.53,45.04,8.83,20.82,4.02,47.12,11.34,24.32,39.86,20.77,10.40,1.48,32.55,nan,9.41,7.23,4,0.4302
16.03,3.17,13.96,19.65,4.34,12.73,4.87,11.04,3.23,12.51,18.14,nan,27.67,7.52,13.70,8.30,8.68,34.88,9.76,5.04,16.84,68.64,15.18,20.50,nan,36.79,14.14,43.27,62.49,10.47,17.46,1.25,24.42,26.22,9.96,6.60,3,0.3814
9.87,4.45,11.64,41.05,7.96,12.50,3.32,18.17,6.05,5.42,19.22,15.47,nan,11.22,10.05,3.74,14.24,40.36,10.24,2.48,39.12,43.32,15.36,17.78,2.95,27.85,12.77,19.44,48.69,15.93,8.27,1.53,36.66,36.14,4.57,7.20,4,0.3910
13.65,5.99,13.71,24.77,4.29,15.10,3.89,12.46,3.35,15.42,9.00,nan,32.18,5.45,6.57,8.02,14.78,19.55,19.80,2.11,40.67,47.53,18.90,14.44,2.79,42.26,20.39,30.41,36.50,14.37,9.27,1.70,47.31,25.74,6.39,8.21,1,0.4013
8.15,5.30,10.35,39.36,12.41,15.21,3.55,17.38,2.16,9.76,2.37,22.34,57.77,18.28,10.66,12.40,28.19,56.48,11.97,nan,58.83,17.93,16.92,16.24,3.63,38.54,15.67,30.48,12.42,10.05,22.75,2.66,64.92,49.24,14.99,9.42,1,0.4711
9.43,2.99,7.88,38.64,6.68,12.34,4.33,21.92,3.91,8.10,18.55,11.58,35.64,nan,2.87,nan,6.82,61.73,9.94,5.75,38.14,nan,15.13,11.56,3.43,47.68,7.31,32.25,67.28,8.14,17.24,3.05,48.52,22.96,7.56,6.98,4,0.4296
12.91,4.43,9.40,5.30,8.35,14.49,3.86,7.15,2.00,14.37,22.56,12.34,19.16,12.76,11.75,10.69,15.68,41.73,14.24,nan,19.18,47.43,15.40,22.93,1.21,29.84,17.81,34.28,43.73,13.32,9.69,3.47,23.59,41.73,11.85,11.58,0,0.3653
5.49,1.84,11.86,40.01,9.20,6.85,4.15,17.79,1.40,15.40,15.20,12.81,21.64,14.12,12.56,5.28,19.50,56.67,7.52,4.88,20.05,50.63,12.46,13.05,3.31,37.33,10.04,31.96,35.49,17.31,12.03,5.79,37.21,37.45,12.72,8.04,1,0.3806
6.72,5.09,12.65,19.97,5.67,12.10,4.67,12.92,3.54,10.78,23.00,6.14,21.01,nan,9.25,8.12,3.26,45.63,18.97,3.43,35.96,36.91,15.17,12.43,3.98,53.81,18.20,47.87,70.10,12.61,nan,1.95,63.34,16.34,8.90,8.12,4,0.4281
17.30,3.96,11.00,34.10,13.07,5.94,4.26,11.23,4.51,6.01,11.00,20.13,24.74,12.29,8.96,5.04,24.50,29.57,15.34,4.98,53.03,55.54,8.57,13.26,1.18,38.82,7.12,27.79,39.70,10.08,10.16,2.73,39.68,39.82,8.09,8.36,5,0.4019
12.00,4.07,10.05,41.25,5.98,11.66,2.82,13.73,2.90,10.25,12.63,11.82,34.55,8.78,9.03,2.56,17.60,33.61,8.11,2.60,36.24,50.78,13.46,18.58,2.99,18.55,15.11,32.37,50.00,nan,10.51,2.67,29.12,nan,1.29,13.41,1,0.3735
14.76,4.18,9.55,26.12,11.89,9.37,2.20,16.72,4.82,11.15,nan,11.73,29.72,11.04,9.10,11.45,14.56,46.66,15.66,4.04,34.54,55.25,10.63,16.84,2.18,49.46,9.82,32.12,46.57,12.60,14.17,1.37,33.38,34.82,10.37,10.71,1,0.4181
14.96,4.35,6.96,3.30,8.86,14.73,5.09,6.02,4.64,7.88,6.81,25.53,30.03,17.41,20.00,7.20,9.59,22.74,12.57,3.46,32.25,50.81,18.52,7.05,3.84,nan,6.85,nan,37.03,11.01,8.00,3.67,41.87,21.20,14.43,11.71,5,0.3658
8.99,4.16,9.47,14.52,12.25,14.00,5.42,5.64,1.84,7.41,12.66,26.17,29.79,15.51,16.07,8.91,2.67,34.86,12.70,4.09,33.59,51.88,16.77,nan,3.22,29.52,6.21,nan,50.58,13.00,9.40,3.88,44.31,24.91,9.87,8.67,5,0.3871
11.16,4.40,6.57,35.17,8.48,11.81,4.24,19.10,5.23,12.93,19.77,16.74,38.27,12.09,7.90,5.83,13.08,50.32,10.33,4.24,35.34,31.87,17.92,nan,4.84,43.08,17.99,31.46,45.59,13.37,nan,nan,44.25,25.77,7.13,13.12,4,0.4186
6.30,5.09,17.53,40.04,9.88,15.56,3.71,20.17,4.93,21.56,9.43,26.91,nan,nan,nan,11.99,26.44,45.06,22.65,3.67,53.56,nan,15.75,13.61,3.12,54.73,14.63,42.81,11.46,11.42,22.58,3.35,56.48,27.18,4.57,13.56,1,0.4561
14.54,5.08,6.42,23.29,20.35,15.72,4.06,12.61,nan,11.72,2.57,23.83,48.11,18.80,14.64,11.79,9.82,36.93,7.68,4.83,45.00,55.36,17.58,5.47,3.60,38.18,8.68,34.84,31.27,18.20,4.15,3.40,38.20,26.54,12.23,7.64,5,0.4252
11.22,3.79,16.80,39.51,14.25,11.51,4.97,19.23,4.19,15.28,11.79,19.58,41.29,15.77,17.03,7.73,25.57,32.52,16.18,4.06,51.10,25.71,17.01,11.92,5.13,45.18,15.59,33.69,17.41,15.38,17.08,3.92,54.66,28.66,7.90,12.62,1,0.4362
18.69,2.55,18.16,12.25,14.01,15.18,1.62,4.67,5.35,6.06,10.32,22.61,41.20,19.54,12.78,8.14,5.45,16.59,14.59,4.39,44.09,62.47,nan,nan,4.02,35.04,5.89,29.23,nan,9.34,10.08,3.47,54.29,31.18,11.95,8.76,5,0.4263
15.59,3.57,10.92,18.86,10.19,6.66,3.18,5.08,nan,7.87,10.39,22.96,15.52,9.00,7.36,7.51,22.19,33.59,15.48,6.26,37.35,62.65,6.24,13.83,3.49,36.18,5.21,nan,41.55,7.74,8.97,4.18,36.46,48.25,12.94,10.94,5,0.3820
9.03,5.33,10.67,41.59,15.15,16.61,5.18,nan,2.74,13.64,9.21,23.03,45.81,15.25,12.98,6.57,23.63,36.82,17.56,3.62,71.60,18.84,18.20,9.60,3.51,44.41,18.40,38.08,20.75,nan,16.37,1.11,60.17,19.02,3.52,8.17,1,0.4511
11.49,4.13,15.12,34.56,12.92,15.06,2.62,16.87,6.35,8.14,19.64,12.88,37.35,8.15,14.48,4.17,20.90,31.04,13.89,4.33,nan,44.50,17.09,20.80,2.93,28.73,14.16,27.18,40.77,8.81,13.64,4.11,41.27,29.40,8.34,10.82,0,0.4053
6.76,3.16,2.54,48.69,12.08,6.23,1.77,nan,4.25,13.40,15.87,14.54,31.69,10.92,10.29,12.34,22.71,70.30,11.62,5.96,24.57,34.45,11.86,18.96,2.92,40.37,8.63,26.61,38.41,20.79,14.46,4.25,23.64,41.06,8.71,10.60,0,0.4004
13.10,5.66,9.92,18.99,12.46,5.46,5.28,nan,5.08,10.84,18.09,16.36,12.65,10.81,10.77,8.47,7.64,32.64,21.99,4.53,29.29,66.64,11.28,22.10,1.48,45.61,13.76,17.48,34.41,16.42,2.51,5.72,29.76,35.80,9.18,9.01,5,0.3797
9.99,3.84,14.91,19.41,nan,11.67,2.37,5.39,5.07,12.86,22.39,8.36,25.73,14.30,9.58,12.72,nan,27.29,15.71,3.84,23.21,39.78,21.16,7.66,4.30,44.10,11.40,34.39,71.17,18.20,14.23,4.09,51.89,22.65,8.67,12.31,0,0.4028
9.14,4.52,12.18,19.75,12.05,14.77,1.91,10.84,2.72,nan,15.56,19.25,24.31,12.15,14.80,nan,20.51,58.21,13.35,4.62,32.13,59.41,6.63,26.33,4.96,28.60,4.92,28.95,33.30,10.38,8.24,3.75,12.27,57.81,11.36,2.67,4,0.3822
9.64,3.61,12.65,19.87,10.80,11.71,3.91,14.39,4.43,13.36,15.29,11.87,22.26,11.56,10.65,9.15,18.22,31.99,13.74,3.96,25.91,60.82,14.40,18.50,2.99,30.02,13.05,24.08,32.64,9.24,4.14,2.69,28.22,37.94,8.16,11.07,1,0.3624
9.99,3.62,11.09,35.93,5.65,15.68,4.04,15.68,3.61,8.84,22.13,8.21,35.22,11.53,11.59,7.45,17.45,55.92,8.43,6.13,28.30,37.57,15.61,16.84,3.68,29.40,7.92,39.61,67.64,14.42,19.24,2.32,nan,31.57,7.17,7.00,4,0.3957
14.50,4.08,3.93,36.12,13.29,3.94,3.38,8.36,3.53,14.42,18.47,21.61,9.99,nan,5.11,5.20,18.63,52.05,15.62,5.42,29.31,63.87,13.24,16.85,4.44,47.10,5.59,26.50,49.26,12.99,7.50,4.93,25.00,31.28,10.35,3.40,4,0.3857
